"Localidad";"Tipo_gas";"Descripcion";"fecha";"valor";"anio";"mes"
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-02-01;955;1999;2
"Ushuaia";"Gas envasado";"Granel (kg.)";1999-02-01;-9;1999;2
"Tolhuin";"Gas de red";"Promedio de usuarios";1999-02-01;311;1999;2
"Tolhuin";"Gas de red";"M3";1999-02-01;210000;1999;2
"Rio Grande";"Gas de red";"Promedio de usuarios";1999-03-01;13611;1999;3
"Rio Grande";"Gas de red";"M3";1999-03-01;12300000;1999;3
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-03-01;258;1999;3
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-03-01;-9;1999;3
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-03-01;-9;1999;3
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-03-01;311;1999;3
"Rio Grande";"Gas envasado";"Granel (kg.)";1999-03-01;-9;1999;3
"Ushuaia";"Gas de red";"Promedio de usuarios";1999-03-01;12087;1999;3
"Ushuaia";"Gas de red";"M3";1999-03-01;7968210;1999;3
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-03-01;4517;1999;3
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-03-01;-9;1999;3
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-03-01;-9;1999;3
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-03-01;940;1999;3
"Ushuaia";"Gas envasado";"Granel (kg.)";1999-03-01;-9;1999;3
"Tolhuin";"Gas de red";"Promedio de usuarios";1999-03-01;311;1999;3
"Tolhuin";"Gas de red";"M3";1999-03-01;270000;1999;3
"Rio Grande";"Gas de red";"Promedio de usuarios";1999-04-01;13566;1999;4
"Rio Grande";"Gas de red";"M3";1999-04-01;13600000;1999;4
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-04-01;196;1999;4
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-04-01;-9;1999;4
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-04-01;-9;1999;4
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-04-01;239;1999;4
"Rio Grande";"Gas envasado";"Granel (kg.)";1999-04-01;-9;1999;4
"Ushuaia";"Gas de red";"Promedio de usuarios";1999-04-01;12118;1999;4
"Ushuaia";"Gas de red";"M3";1999-04-01;8737856;1999;4
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-04-01;5796;1999;4
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-04-01;-9;1999;4
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-04-01;-9;1999;4
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-04-01;1186;1999;4
"Ushuaia";"Gas envasado";"Granel (kg.)";1999-04-01;-9;1999;4
"Tolhuin";"Gas de red";"Promedio de usuarios";1999-04-01;316;1999;4
"Tolhuin";"Gas de red";"M3";1999-04-01;260000;1999;4
"Rio Grande";"Gas de red";"Promedio de usuarios";1999-05-01;13629;1999;5
"Rio Grande";"Gas de red";"M3";1999-05-01;16700000;1999;5
"Rio Grande";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-05-01;237;1999;5
"Rio Grande";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-05-01;-9;1999;5
"Rio Grande";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-05-01;-9;1999;5
"Rio Grande";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-05-01;403;1999;5
"Rio Grande";"Gas envasado";"Granel (kg.)";1999-05-01;-9;1999;5
"Ushuaia";"Gas de red";"Promedio de usuarios";1999-05-01;12144;1999;5
"Ushuaia";"Gas de red";"M3";1999-05-01;10882554;1999;5
"Ushuaia";"Gas envasado";"Cantidad de garrafas (10 kg.)";1999-05-01;6958;1999;5
"Ushuaia";"Gas envasado";"Cantidad de garrafas (15 kg.)";1999-05-01;-9;1999;5
"Ushuaia";"Gas envasado";"Cantidad de cilindros (30 kg.)";1999-05-01;-9;1999;5
"Ushuaia";"Gas envasado";"Cantidad de cilindros (45 kg.)";1999-05-01;1335;1999;5
"Ushuaia";"Gas envasado";"Granel (kg.)";1999-05-01;-9;1999;5
